variant,metric,row_index,class_label,rank,feature,value
squared,mass,1,YES,1,SystolicBP_x_FunctionalAssessment_x_ADL,0.01232833541520215
squared,mass,1,YES,2,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.01151497828819621
squared,mass,1,YES,3,HeadInjury_x_CholesterolTriglycerides_x_MemoryComplaints,0.00966342877369188
squared,certainty,1,YES,1,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.019080807633119503
squared,certainty,1,YES,2,CholesterolTriglycerides_x_BehavioralProblems_x_ADL,0.016733950744348407
squared,certainty,1,YES,3,SystolicBP_x_FunctionalAssessment_x_ADL,0.01580686464859107
squared,plausibility,1,YES,1,FunctionalAssessment_x_MemoryComplaints_x_BehavioralProblems,0.687483835543197
squared,plausibility,1,YES,2,FunctionalAssessment_x_MemoryComplaints_x_ADL,0.6831672232644236
squared,plausibility,1,YES,3,CholesterolTriglycerides_x_FunctionalAssessment_x_MemoryComplaints,0.656833967662555
signed,mass,0,NO,0,THETA,0.326552867817365
signed,mass,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.0404818337823546
signed,mass,0,NO,2,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.014391754765740018
signed,mass,0,NO,3,SleepQuality_x_MMSE_x_FunctionalAssessment,0.010382053337318443
signed,certainty,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.051034210040184366
signed,certainty,0,NO,2,SleepQuality_x_MMSE_x_FunctionalAssessment,0.0215887016216589
signed,certainty,0,NO,3,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.015229768071850754
signed,plausibility,0,NO,1,CholesterolTriglycerides_x_FunctionalAssessment_x_ADL,0.6553400130298268
signed,plausibility,0,NO,2,BMI_x_FunctionalAssessment_x_ADL,0.6517458406211295
signed,plausibility,0,NO,3,BMI_x_MMSE_x_FunctionalAssessment,0.6484921368333706
signed,mass,1,YES,0,THETA,0.3369598287890995
signed,mass,1,YES,1,SystolicBP_x_FunctionalAssessment_x_ADL,0.011798911265378015
signed,mass,1,YES,2,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.011020482690440628
signed,mass,1,YES,3,HeadInjury_x_CholesterolTriglycerides_x_MemoryComplaints,0.009248445534625454
signed,certainty,1,YES,1,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.018261407444942795
signed,certainty,1,YES,2,CholesterolTriglycerides_x_BehavioralProblems_x_ADL,0.01601533323860622
signed,certainty,1,YES,3,SystolicBP_x_FunctionalAssessment_x_ADL,0.015128059635900856
signed,plausibility,1,YES,1,FunctionalAssessment_x_MemoryComplaints_x_BehavioralProblems,0.7009044311955357
signed,plausibility,1,YES,2,FunctionalAssessment_x_MemoryComplaints_x_ADL,0.6967731901537417
signed,plausibility,1,YES,3,CholesterolTriglycerides_x_FunctionalAssessment_x_MemoryComplaints,0.6715707815794396
normalized,mass,0,NO,0,THETA,0.32779202139482233
normalized,mass,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.04040734655573161
normalized,mass,0,NO,2,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.014365273705012841
normalized,mass,0,NO,3,SleepQuality_x_MMSE_x_FunctionalAssessment,0.010362950191845674
normalized,certainty,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.0509403062711697
normalized,certainty,0,NO,2,SleepQuality_x_MMSE_x_FunctionalAssessment,0.021548978062720485
normalized,certainty,0,NO,3,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.015201745053133707
normalized,plausibility,0,NO,1,CholesterolTriglycerides_x_FunctionalAssessment_x_ADL,0.6559741929608868
normalized,plausibility,0,NO,2,BMI_x_FunctionalAssessment_x_ADL,0.6523866338873502
normalized,plausibility,0,NO,3,BMI_x_MMSE_x_FunctionalAssessment,0.6491389169670022
normalized,mass,1,YES,0,THETA,0.33531895075593887
normalized,mass,1,YES,1,SystolicBP_x_FunctionalAssessment_x_ADL,0.011828110965714744
normalized,mass,1,YES,2,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.011047755951921224
normalized,mass,1,YES,3,HeadInjury_x_CholesterolTriglycerides_x_MemoryComplaints,0.009271333395388002
normalized,certainty,1,YES,1,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.018306600396489427
normalized,certainty,1,YES,2,CholesterolTriglycerides_x_BehavioralProblems_x_ADL,0.01605496765239594
normalized,certainty,1,YES,3,SystolicBP_x_FunctionalAssessment_x_ADL,0.015165498243422268
normalized,plausibility,1,YES,1,FunctionalAssessment_x_MemoryComplaints_x_BehavioralProblems,0.7001642356991296
normalized,plausibility,1,YES,2,FunctionalAssessment_x_MemoryComplaints_x_ADL,0.6960227707478809
normalized,plausibility,1,YES,3,CholesterolTriglycerides_x_FunctionalAssessment_x_MemoryComplaints,0.670757991776719
bootstrap,mass,0,NO,0,THETA,0.33448282204636376
bootstrap,mass,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.04000515332199002
bootstrap,mass,0,NO,2,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.01422228941187116
bootstrap,mass,0,NO,3,SleepQuality_x_MMSE_x_FunctionalAssessment,0.010259802897998679
bootstrap,certainty,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.05043327355921642
bootstrap,certainty,0,NO,2,SleepQuality_x_MMSE_x_FunctionalAssessment,0.021334490997629033
bootstrap,certainty,0,NO,3,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.015050434969136916
bootstrap,plausibility,0,NO,1,CholesterolTriglycerides_x_FunctionalAssessment_x_ADL,0.659398442846556
bootstrap,plausibility,0,NO,2,BMI_x_FunctionalAssessment_x_ADL,0.6558465924277077
bootstrap,plausibility,0,NO,3,BMI_x_MMSE_x_FunctionalAssessment,0.6526312015540272
bootstrap,mass,1,YES,0,THETA,0.3317123259128036
bootstrap,mass,1,YES,1,SystolicBP_x_FunctionalAssessment_x_ADL,0.011892291460863241
bootstrap,mass,1,YES,2,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.011107702163901252
bootstrap,mass,1,YES,3,HeadInjury_x_CholesterolTriglycerides_x_MemoryComplaints,0.009321640563601725
bootstrap,certainty,1,YES,1,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.018405933813409343
bootstrap,certainty,1,YES,2,CholesterolTriglycerides_x_BehavioralProblems_x_ADL,0.016142083488264458
bootstrap,certainty,1,YES,3,SystolicBP_x_FunctionalAssessment_x_ADL,0.015247787730666498
bootstrap,plausibility,1,YES,1,FunctionalAssessment_x_MemoryComplaints_x_BehavioralProblems,0.6985372973087272
bootstrap,plausibility,1,YES,2,FunctionalAssessment_x_MemoryComplaints_x_ADL,0.6943733603607258
bootstrap,plausibility,1,YES,3,CholesterolTriglycerides_x_FunctionalAssessment_x_MemoryComplaints,0.6689714922103293
bayes,mass,0,NO,0,THETA,0.3288292437435624
bayes,mass,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.04034499769312544
bayes,mass,0,NO,2,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.014343107971479741
bayes,mass,0,NO,3,SleepQuality_x_MMSE_x_FunctionalAssessment,0.010346960075869736
bayes,certainty,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.05086170496651742
bayes,certainty,0,NO,2,SleepQuality_x_MMSE_x_FunctionalAssessment,0.021515727815251677
bayes,certainty,0,NO,3,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.015178288637543915
bayes,plausibility,0,NO,1,CholesterolTriglycerides_x_FunctionalAssessment_x_ADL,0.6565050275641077
bayes,plausibility,0,NO,2,BMI_x_FunctionalAssessment_x_ADL,0.6529230041232429
bayes,plausibility,0,NO,3,BMI_x_MMSE_x_FunctionalAssessment,0.649680298456375
bayes,mass,1,YES,0,THETA,0.3372268183606996
bayes,mass,1,YES,1,SystolicBP_x_FunctionalAssessment_x_ADL,0.01179416014108591
bayes,mass,1,YES,2,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.011016045019723083
bayes,mass,1,YES,3,HeadInjury_x_CholesterolTriglycerides_x_MemoryComplaints,0.009244721418623945
bayes,certainty,1,YES,1,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.01825405403626226
bayes,certainty,1,YES,2,CholesterolTriglycerides_x_BehavioralProblems_x_ADL,0.016008884267418567
bayes,certainty,1,YES,3,SystolicBP_x_FunctionalAssessment_x_ADL,0.015121967947438086
bayes,plausibility,1,YES,1,FunctionalAssessment_x_MemoryComplaints_x_BehavioralProblems,0.7010248694453587
bayes,plausibility,1,YES,2,FunctionalAssessment_x_MemoryComplaints_x_ADL,0.6968952919502449
bayes,plausibility,1,YES,3,CholesterolTriglycerides_x_FunctionalAssessment_x_MemoryComplaints,0.6717030317508991
entropy,mass,0,NO,0,THETA,0.33628513556405265
entropy,mass,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.03989681377644869
entropy,mass,0,NO,2,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.014183773464712114
entropy,mass,0,NO,3,SleepQuality_x_MMSE_x_FunctionalAssessment,0.010232017918039566
entropy,certainty,0,NO,1,MMSE_x_FunctionalAssessment_x_ADL,0.050296693206840576
entropy,certainty,0,NO,2,SleepQuality_x_MMSE_x_FunctionalAssessment,0.021276714214712215
entropy,certainty,0,NO,3,AlcoholConsumption_x_FunctionalAssessment_x_Confusion,0.015009676288083213
entropy,plausibility,0,NO,1,CholesterolTriglycerides_x_FunctionalAssessment_x_ADL,0.6603208394592038
entropy,plausibility,0,NO,2,BMI_x_FunctionalAssessment_x_ADL,0.6567786079476275
entropy,plausibility,0,NO,3,BMI_x_MMSE_x_FunctionalAssessment,0.653571924801754
entropy,mass,1,YES,0,THETA,0.3404385862032806
entropy,mass,1,YES,1,SystolicBP_x_FunctionalAssessment_x_ADL,0.011737006192614875
entropy,mass,1,YES,2,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.01096266178074038
entropy,mass,1,YES,3,HeadInjury_x_CholesterolTriglycerides_x_MemoryComplaints,0.009199921930973402
entropy,certainty,1,YES,1,CholesterolTotal_x_MMSE_x_FunctionalAssessment,0.018165595744082417
entropy,certainty,1,YES,2,CholesterolTriglycerides_x_BehavioralProblems_x_ADL,0.015931305962939603
entropy,certainty,1,YES,3,SystolicBP_x_FunctionalAssessment_x_ADL,0.015048687597967696
entropy,plausibility,1,YES,1,FunctionalAssessment_x_MemoryComplaints_x_BehavioralProblems,0.7024736889459781
entropy,plausibility,1,YES,2,FunctionalAssessment_x_MemoryComplaints_x_ADL,0.6983641231902795
entropy,plausibility,1,YES,3,CholesterolTriglycerides_x_FunctionalAssessment_x_MemoryComplaints,0.6732939435057036
